Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 16:50:50;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-21.95;-100.00;100.00;10;6;21;37;218;232.78
18-10-2017 16:50:52;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-36.78;-100.00;100.00;10;6;22;38;218;231.32
18-10-2017 16:50:53;0;Salvador;1;16;Acelga, crua;0;----;98.60;-28.18;-100.00;88.60;11;6;22;39;228;229.99
18-10-2017 16:50:55;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-44.29;-100.00;100.00;11;6;23;40;228;228.22
18-10-2017 16:50:55;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-54.65;-100.00;100.00;11;6;24;41;228;227.62
18-10-2017 16:50:58;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-73.07;-100.00;100.00;11;6;25;42;228;224.68
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:33:30;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-23.41;-23.41;6.59;0;0;1;1;100;294.20
18-10-2017 17:33:35;0;Salvador;1;32;Cenoura, cozida;1;----;33.61;-79.80;-39.80;10.20;0;1;1;2;103;289.37
18-10-2017 17:33:37;0;Salvador;1;----;Garrafa de agua;----;----;21.85;-41.56;-61.56;-11.56;0;1;1;2;103;287.53
18-10-2017 17:33:39;0;Salvador;1;25;Batata, inglesa, cozida;1;----;54.43;-58.97;-78.97;-8.97;0;2;1;3;106;285.41
18-10-2017 17:33:40;0;Salvador;1;22;Batata, baroa, crua;0;----;54.21;-49.20;-89.20;-19.20;1;2;1;4;116;285.03
Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:34:22;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-13.94;-13.94;16.06;0;0;1;1;100;274.05
18-10-2017 17:34:25;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-31.62;-31.62;28.38;0;0;2;2;100;271.57
18-10-2017 17:34:26;0;Salvador;1;----;Garrafa de agua;----;----;86.82;5.20;-54.80;5.20;0;0;2;2;100;270.70
18-10-2017 17:34:29;0;Salvador;1;----;Garrafa de agua;----;----;67.87;36.25;-83.75;-23.75;0;0;2;2;100;267.44
18-10-2017 17:34:30;0;Salvador;1;16;Acelga, crua;0;----;63.14;41.51;-98.49;-38.49;1;0;2;3;110;265.96
18-10-2017 17:34:38;0;Salvador;1;----;Garrafa de agua;----;----;34.19;62.57;-100.00;-77.43;1;0;2;3;110;258.05
18-10-2017 17:34:39;0;Salvador;1;17;Agriao, cru;0;----;33.99;72.37;-100.00;-87.63;2;0;2;4;120;257.72
18-10-2017 17:34:41;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;55.38;-100.00;-74.62;2;0;3;5;120;255.56
18-10-2017 17:34:44;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;35.84;-100.00;-64.16;2;0;4;6;120;252.48
18-10-2017 17:34:49;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;10.10;-100.00;-59.90;2;0;5;7;120;247.25
18-10-2017 17:34:52;0;Salvador;1;----;Garrafa de agua;----;----;84.64;44.74;-100.00;-85.26;2;0;5;7;120;244.72
18-10-2017 17:34:53;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;31.82;-100.00;-68.18;2;0;6;8;120;243.77
18-10-2017 17:34:53;0;Salvador;1;----;Garrafa de agua;----;----;89.94;71.76;-100.00;-88.24;2;0;6;8;120;243.76
18-10-2017 17:34:55;0;Salvador;1;16;Acelga, crua;0;----;82.10;73.92;-100.00;-100.00;3;0;6;9;130;241.19
18-10-2017 17:34:55;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;63.56;-100.00;-90.00;3;1;6;10;133;241.09
18-10-2017 17:34:57;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;48.59;-100.00;-74.98;3;1;7;11;133;239.47
18-10-2017 17:35:02;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;28.02;-100.00;-65.54;3;1;8;12;133;234.77
